,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temperature
0,2025-05-01 17:00:06.043853824,0.951416015625,-0.148193359375,-0.1484375,119.2626953125,-34.5458984375,-46.56982421875,33.7890625
1,2025-05-01 17:00:06.043853824,0.944091796875,-0.156494140625,-0.155029296875,121.826171875,-34.912109375,-46.7529296875,33.79638671875
2,2025-05-01 17:00:06.043853824,0.943115234375,-0.1640625,-0.152099609375,124.57275390625,-34.912109375,-45.83740234375,33.8037109375
3,2025-05-01 17:00:06.043853824,0.94189453125,-0.190185546875,-0.134521484375,126.0986328125,-34.3017578125,-43.64013671875,33.81103515625
4,2025-05-01 17:00:06.043853824,0.933349609375,-0.215087890625,-0.133056640625,125.3662109375,-34.48486328125,-41.32080078125,33.818359375
5,2025-05-01 17:00:06.043853824,0.93017578125,-0.22216796875,-0.138671875,123.9013671875,-35.400390625,-39.306640625,33.82568359375
6,2025-05-01 17:00:06.043853824,0.922607421875,-0.2333984375,-0.14599609375,122.61962890625,-35.82763671875,-37.41455078125,33.8330078125
7,2025-05-01 17:00:06.043853824,0.8955078125,-0.2509765625,-0.143310546875,120.60546875,-35.58349609375,-35.46142578125,33.84033203125
8,2025-05-01 17:00:06.043853824,0.884521484375,-0.267578125,-0.1435546875,118.10302734375,-35.400390625,-32.5927734375,33.84765625
9,2025-05-01 17:00:06.043853824,0.882568359375,-0.279296875,-0.143310546875,117.0654296875,-34.24072265625,-30.1513671875,33.85498046875
10,2025-05-01 17:00:06.043853824,0.87255859375,-0.295166015625,-0.140869140625,117.00439453125,-33.447265625,-28.4423828125,33.8623046875
11,2025-05-01 17:00:06.043853824,0.856201171875,-0.314453125,-0.127685546875,115.8447265625,-33.69140625,-27.28271484375,33.86962890625
12,2025-05-01 17:00:06.043853824,0.837158203125,-0.34326171875,-0.107177734375,114.31884765625,-33.50830078125,-26.79443359375,33.876953125
13,2025-05-01 17:00:06.043853824,0.82763671875,-0.363037109375,-0.087890625,113.22021484375,-32.5927734375,-25.57373046875,33.88427734375
14,2025-05-01 17:00:06.043853824,0.837158203125,-0.37109375,-0.095703125,113.28125,-31.3720703125,-22.52197265625,33.8916015625
15,2025-05-01 17:00:06.043853824,0.896484375,-0.385009765625,-0.16064453125,111.26708984375,-29.296875,-17.88330078125,33.89892578125
16,2025-05-01 17:00:06.043853824,0.928466796875,-0.38525390625,-0.22802734375,106.38427734375,-21.42333984375,-13.18359375,33.90625
17,2025-05-01 17:00:06.043853824,0.961181640625,-0.393798828125,-0.30029296875,101.4404296875,-14.70947265625,-9.33837890625,33.91357421875
18,2025-05-01 17:00:06.043853824,1.024658203125,-0.407958984375,-0.370849609375,98.2666015625,-11.8408203125,-5.9814453125,33.9208984375
19,2025-05-01 17:00:06.043853824,1.11865234375,-0.456787109375,-0.48681640625,96.13037109375,-12.26806640625,-3.35693359375,33.92822265625
20,2025-05-01 17:00:06.043853824,1.19580078125,-0.530517578125,-0.536376953125,94.78759765625,-11.41357421875,-4.21142578125,33.935546875
21,2025-05-01 17:00:06.043853824,1.182373046875,-0.628173828125,-0.53662109375,91.36962890625,-16.05224609375,-8.7890625,33.94287109375
22,2025-05-01 17:00:06.043853824,1.15234375,-0.767822265625,-0.54833984375,85.87646484375,-25.81787109375,-15.13671875,33.9501953125
23,2025-05-01 17:00:06.043853824,1.09765625,-0.836181640625,-0.514404296875,77.94189453125,-33.63037109375,-19.4091796875,33.95751953125
24,2025-05-01 17:00:06.043853824,1.073486328125,-0.7578125,-0.49658203125,68.42041015625,-36.9873046875,-14.5263671875,33.96484375
25,2025-05-01 17:00:06.043853824,1.089599609375,-0.641357421875,-0.471923828125,62.92724609375,-38.4521484375,-6.16455078125,33.97216796875
26,2025-05-01 17:00:06.043853824,1.1083984375,-0.47509765625,-0.48486328125,58.41064453125,-43.212890625,0.06103515625,33.9794921875
27,2025-05-01 17:00:06.043853824,1.128662109375,-0.3203125,-0.4775390625,49.62158203125,-49.560546875,9.1552734375,33.98681640625
28,2025-05-01 17:00:06.043853824,1.1083984375,-0.1796875,-0.499267578125,34.11865234375,-56.2744140625,21.05712890625,33.994140625
29,2025-05-01 17:00:06.043853824,1.0205078125,-0.059814453125,-0.53662109375,22.03369140625,-61.09619140625,29.9072265625,34.00146484375
30,2025-05-01 17:00:06.043853824,0.942626953125,-0.01708984375,-0.52392578125,14.2822265625,-64.697265625,32.5927734375,34.0087890625
31,2025-05-01 17:00:06.043853824,0.87451171875,-0.033447265625,-0.50927734375,5.31005859375,-67.138671875,31.25,34.01611328125
32,2025-05-01 17:00:06.043853824,0.794921875,-0.05615234375,-0.547119140625,-1.0986328125,-66.7724609375,27.16064453125,34.0234375
33,2025-05-01 17:00:06.043853824,0.7412109375,-0.0947265625,-0.588134765625,1.708984375,-62.6220703125,19.34814453125,34.03076171875
34,2025-05-01 17:00:06.043853824,0.712890625,-0.135009765625,-0.59912109375,13.18359375,-56.70166015625,9.6435546875,34.0380859375
35,2025-05-01 17:00:06.043853824,0.709716796875,-0.17919921875,-0.59912109375,28.74755859375,-51.94091796875,0.9765625,34.04541015625
36,2025-05-01 17:00:06.855263744,0.70849609375,-0.2109375,-0.574951171875,43.51806640625,-45.8984375,-6.7138671875,34.052734375
37,2025-05-01 17:00:06.859300608,0.7158203125,-0.23193359375,-0.53173828125,52.18505859375,-38.75732421875,-13.24462890625,34.06005859375
38,2025-05-01 17:00:06.863337472,0.732421875,-0.2490234375,-0.490478515625,54.6875,-32.65380859375,-18.00537109375,34.0673828125
