,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,00:07.1,0.744140625,-0.579345703,0.311035156,-23.62060547,13.61083984,-42.17529297
1,00:07.1,0.727050781,-0.578125,0.291503906,-25.81787109,14.58740234,-45.22705078
2,00:07.1,0.717285156,-0.568359375,0.256347656,-29.54101563,13.85498047,-49.07226563
3,00:07.1,0.722412109,-0.562255859,0.249267578,-33.75244141,10.13183594,-50.90332031
4,00:07.1,0.735351563,-0.565185547,0.275634766,-36.80419922,6.164550781,-51.08642578
5,00:07.1,0.759765625,-0.568603516,0.303222656,-38.69628906,5.249023438,-51.45263672
6,00:07.1,0.781005859,-0.573486328,0.323730469,-41.25976563,7.629394531,-52.18505859
7,00:07.1,0.791992188,-0.573974609,0.332275391,-45.22705078,12.20703125,-53.46679688
8,00:07.1,0.807861328,-0.578125,0.3359375,-50.23193359,18.92089844,-54.50439453
9,00:07.1,0.829833984,-0.586425781,0.336914063,-55.78613281,27.52685547,-54.87060547
10,00:07.1,0.852539063,-0.597900391,0.322265625,-61.21826172,37.96386719,-54.38232422
11,00:07.1,0.8671875,-0.611816406,0.296875,-66.34521484,48.95019531,-52.97851563
12,00:07.2,0.871826172,-0.638671875,0.267578125,-71.10595703,59.14306641,-51.20849609
13,00:07.2,0.865478516,-0.663085938,0.226318359,-74.70703125,68.48144531,-49.01123047
14,00:07.2,0.860351563,-0.688720703,0.180175781,-76.59912109,76.171875,-47.18017578
15,00:07.2,0.860107422,-0.712646484,0.141601563,-76.53808594,81.0546875,-45.53222656
16,00:07.2,0.864013672,-0.734619141,0.118652344,-74.27978516,82.03125,-43.76220703
17,00:07.2,0.861816406,-0.749267578,0.09765625,-69.76318359,78.67431641,-41.87011719
18,00:07.2,0.868652344,-0.743164063,0.072265625,-64.02587891,71.2890625,-40.28320313
19,00:07.2,0.877929688,-0.713623047,0.056640625,-57.80029297,60.72998047,-39.42871094
20,00:07.2,0.873535156,-0.668457031,0.065673828,-51.45263672,49.01123047,-39.67285156
21,00:07.2,0.848632813,-0.613037109,0.077636719,-46.32568359,38.33007813,-41.38183594
22,00:07.2,0.824707031,-0.551757813,0.088378906,-43.57910156,29.84619141,-44.06738281
23,00:07.2,0.8203125,-0.493408203,0.095947266,-43.57910156,23.37646484,-47.60742188
24,00:07.2,0.825195313,-0.447021484,0.094482422,-45.71533203,19.16503906,-51.26953125
25,00:07.2,0.833984375,-0.411621094,0.094970703,-49.25537109,17.27294922,-53.89404297
26,00:07.2,0.826171875,-0.392089844,0.089599609,-53.10058594,17.51708984,-54.87060547
27,00:07.2,0.810302734,-0.371826172,0.078613281,-56.45751953,20.01953125,-53.95507813
28,00:07.2,0.806152344,-0.353515625,0.065673828,-59.81445313,24.4140625,-51.45263672
29,00:07.2,0.790039063,-0.344970703,0.052246094,-63.53759766,27.83203125,-47.60742188
30,00:07.2,0.775634766,-0.345947266,0.042480469,-66.58935547,30.51757813,-42.17529297
31,00:07.2,0.760498047,-0.354248047,0.047607422,-68.54248047,32.47070313,-35.88867188
32,00:07.2,0.751464844,-0.364013672,0.054199219,-69.94628906,33.69140625,-29.296875
33,00:07.2,0.753417969,-0.372070313,0.055175781,-70.98388672,34.1796875,-23.74267578
34,00:07.2,0.784179688,-0.383300781,0.048583984,-71.10595703,34.1796875,-18.98193359
35,00:07.2,0.837158203,-0.387207031,0.051025391,-70.55664063,34.79003906,-14.70947266
36,00:07.2,0.874755859,-0.390380859,0.063720703,-69.70214844,36.37695313,-11.10839844
37,00:07.3,0.895507813,-0.391357422,0.080078125,-68.60351563,39.12353516,-8.239746094
38,00:07.3,0.915283203,-0.386474609,0.088134766,-67.32177734,42.72460938,-6.469726563
39,00:07.3,0.925292969,-0.379882813,0.076660156,-66.40625,45.41015625,-6.958007813
40,00:07.3,0.926757813,-0.383544922,0.061767578,-66.46728516,44.67773438,-9.27734375
41,00:07.3,0.915283203,-0.391357422,0.059082031,-66.28417969,39.55078125,-12.63427734
42,00:07.3,0.894042969,-0.396728516,0.066650391,-64.88037109,30.02929688,-15.86914063
43,00:07.3,0.880615234,-0.392333984,0.088867188,-62.37792969,18.12744141,-18.31054688
44,00:07.3,0.879150391,-0.392333984,0.125976563,-59.26513672,5.493164063,-20.56884766
45,00:07.3,0.889160156,-0.386962891,0.177978516,-55.84716797,-4.272460938,-22.39990234
46,00:07.3,0.898193359,-0.378173828,0.217285156,-53.16162109,-9.765625,-23.98681641
47,00:07.3,0.910400391,-0.359619141,0.212646484,-52.12402344,-11.04736328,-26.00097656
48,00:07.3,0.919921875,-0.33203125,0.177734375,-53.03955078,-8.483886719,-28.01513672
49,00:07.3,0.922363281,-0.312011719,0.134033203,-55.48095703,-3.723144531,-29.23583984
50,00:07.7,0.925537109,-0.308349609,0.108398438,-58.04443359,2.685546875,-28.56445313
51,00:07.7,0.927001953,-0.316894531,0.089599609,-59.93652344,10.55908203,-25.87890625
52,00:07.7,0.911865234,-0.328613281,0.068603516,-60.91308594,19.40917969,-22.82714844
53,00:07.7,0.881347656,-0.346191406,0.043212891,-61.15722656,27.16064453,-20.26367188
54,00:07.7,0.847167969,-0.361083984,0.017822266,-60.24169922,31.98242188,-18.24951172
55,00:07.7,0.812011719,-0.372558594,-0.001953125,-58.41064453,33.02001953,-16.72363281
56,00:07.7,0.787841797,-0.381347656,-0.005859375,-56.27441406,30.88378906,-15.99121094
57,00:07.7,0.793212891,-0.386230469,0.011230469,-53.89404297,26.18408203,-15.99121094
58,00:07.7,0.827392578,-0.387695313,0.034912109,-51.69677734,20.38574219,-16.41845703
59,00:07.7,0.860107422,-0.381591797,0.058105469,-49.74365234,14.52636719,-16.29638672
60,00:07.7,0.886474609,-0.368652344,0.072509766,-48.76708984,11.16943359,-14.89257813
61,00:07.7,0.911865234,-0.358154297,0.086914063,-49.31640625,11.90185547,-12.57324219
62,00:07.7,0.922851563,-0.34765625,0.079101563,-51.39160156,15.31982422,-10.7421875
63,00:07.8,0.915283203,-0.348388672,0.060791016,-54.19921875,19.16503906,-9.094238281
64,00:07.8,0.900146484,-0.358154297,0.045898438,-57.25097656,21.66748047,-7.446289063
65,00:07.8,0.888427734,-0.367919922,0.043701172,-59.69238281,22.52197266,-5.676269531
66,00:07.8,0.876220703,-0.377197266,0.044189453,-61.21826172,20.99609375,-4.211425781
