,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
453,00:11.3,0.479492188,-0.354248047,0.813720703,-2.44140625,18.85986328,7.934570313
454,00:11.7,0.373535156,-0.330078125,0.7578125,-1.342773438,14.28222656,6.713867188
455,00:11.7,0.419677734,-0.285888672,0.632324219,0.183105469,12.93945313,5.737304688
456,00:11.7,0.521240234,-0.385009766,0.755371094,-6.774902344,8.117675781,0.183105469
457,00:11.7,0.564208984,-0.532714844,0.937011719,-6.896972656,7.080078125,0.305175781
458,00:11.7,0.65234375,-0.607177734,1.073242188,3.540039063,22.88818359,3.601074219
459,00:11.7,0.797851563,-0.601074219,1.157226563,13.36669922,48.33984375,15.80810547
460,00:11.7,0.904296875,-0.577636719,1.155761719,14.34326172,79.89501953,31.73828125
461,00:11.7,0.830810547,-0.591796875,1.002441406,8.605957031,115.1123047,43.45703125
462,00:11.7,0.634765625,-0.607177734,0.84375,8.239746094,142.9443359,46.44775391
463,00:11.7,0.409179688,-0.595458984,0.828125,16.23535156,151.0009766,41.32080078
464,00:11.7,0.243896484,-0.570556641,0.945800781,27.58789063,134.8266602,31.06689453
465,00:11.7,0.174072266,-0.526855469,1.082275391,36.37695313,100.2197266,16.23535156
466,00:11.7,0.151123047,-0.482421875,1.175537109,36.98730469,54.07714844,0.305175781
467,00:11.7,0.12890625,-0.475585938,1.207519531,30.15136719,3.356933594,-12.26806641
468,00:11.7,0.130615234,-0.528808594,1.228027344,22.39990234,-46.26464844,-22.15576172
469,00:11.7,0.149414063,-0.592285156,1.178710938,21.30126953,-93.62792969,-30.09033203
470,00:11.7,0.146484375,-0.623535156,0.997070313,28.07617188,-137.7563477,-36.62109375
471,00:11.7,0.198730469,-0.631591797,0.813964844,39.42871094,-178.5888672,-45.95947266
472,00:11.7,0.342285156,-0.676757813,0.760009766,54.99267578,-215.5761719,-60.85205078
473,00:11.7,0.593994141,-0.751708984,0.811767578,80.68847656,-238.5864258,-75.50048828
474,00:11.7,0.915039063,-0.812255859,0.94140625,116.6992188,-245.2392578,-94.84863281
475,00:11.8,1.17578125,-0.764648438,1.063964844,156.4331055,-239.440918,-118.9575195
476,00:11.8,1.285644531,-0.540527344,1.094970703,188.4765625,-223.815918,-140.7470703
477,00:11.8,1.295166016,-0.254150391,1.071533203,200.9887695,-202.5146484,-155.3955078
478,00:11.8,1.273925781,-0.003173828,1.044189453,195.7397461,-180.2978516,-162.4145508
479,00:11.8,1.234863281,0.173583984,1.012695313,180.9082031,-157.8369141,-165.8935547
480,00:11.8,1.170654297,0.282470703,0.951171875,162.2924805,-136.1083984,-171.3867188
481,00:11.8,1.085205078,0.320556641,0.815429688,143.6157227,-120.4833984,-181.4575195
482,00:11.8,0.964355469,0.304199219,0.634521484,126.5258789,-116.5161133,-197.5708008
483,00:11.8,0.879150391,0.286132813,0.481933594,114.0136719,-125.6103516,-217.8344727
484,00:11.8,0.852539063,0.290771484,0.363525391,106.0791016,-147.5830078,-237.6098633
485,00:11.8,0.865966797,0.325683594,0.267089844,101.0131836,-174.8046875,-255.1879883
486,00:11.8,0.864257813,0.3984375,0.205810547,95.45898438,-199.6459961,-270.1416016
487,00:11.8,0.858642578,0.499267578,0.153076172,84.65576172,-221.5576172,-279.1137695
488,00:11.8,0.833251953,0.602783203,0.067871094,66.40625,-236.7553711,-280.0292969
489,00:11.8,0.772949219,0.717285156,-0.094726563,42.41943359,-243.1030273,-277.2216797
490,00:11.8,0.641601563,0.853027344,-0.283935547,14.77050781,-244.3847656,-277.1606445
491,00:11.8,0.506591797,1.010986328,-0.458984375,-19.77539063,-242.6757813,-280.3955078
492,00:11.8,0.416503906,1.134277344,-0.549804688,-65.36865234,-240.7226563,-281.8603516
493,00:11.8,0.377685547,1.154785156,-0.541992188,-118.2250977,-235.9619141,-277.8930664
494,00:11.8,0.420410156,1.049072266,-0.417236328,-168.7011719,-229.3701172,-266.2963867
495,00:11.8,0.488769531,0.874267578,-0.274169922,-205.6884766,-220.4589844,-250
496,00:11.8,0.544677734,0.685791016,-0.122802734,-225.6469727,-206.2988281,-231.7504883
497,00:11.8,0.5390625,0.530029297,0.042480469,-230.2246094,-188.1103516,-212.1582031
498,00:11.8,0.459228516,0.424072266,0.181640625,-226.3183594,-167.5415039,-191.8334961
499,00:11.8,0.355712891,0.348876953,0.268798828,-217.7734375,-145.690918,-169.3725586
