,time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,2025-05-01 17:00:06.043853824,0.68896484375,-0.271728515625,-0.575439453125,-74.5849609375,10.6201171875,102.11181640625
1,2025-05-01 17:00:06.043853824,0.627685546875,-0.30224609375,-0.5966796875,-71.4111328125,9.94873046875,93.994140625
2,2025-05-01 17:00:06.043853824,0.59912109375,-0.348876953125,-0.617431640625,-62.07275390625,11.3525390625,86.5478515625
3,2025-05-01 17:00:06.043853824,0.577880859375,-0.3916015625,-0.587158203125,-52.55126953125,14.58740234375,76.84326171875
4,2025-05-01 17:00:06.043853824,0.559814453125,-0.447265625,-0.584228515625,-48.52294921875,15.5029296875,64.697265625
5,2025-05-01 17:00:06.043853824,0.558837890625,-0.51611328125,-0.608642578125,-48.583984375,14.16015625,52.490234375
6,2025-05-01 17:00:06.043853824,0.55419921875,-0.55517578125,-0.6201171875,-47.2412109375,14.58740234375,42.66357421875
7,2025-05-01 17:00:06.043853824,0.535400390625,-0.537841796875,-0.6650390625,-42.236328125,15.68603515625,36.1328125
8,2025-05-01 17:00:06.043853824,0.53173828125,-0.498046875,-0.7236328125,-36.1328125,13.427734375,32.8369140625
9,2025-05-01 17:00:06.043853824,0.5341796875,-0.4453125,-0.707763671875,-33.26416015625,9.58251953125,31.6162109375
10,2025-05-01 17:00:06.043853824,0.537353515625,-0.3759765625,-0.66552734375,-37.7197265625,6.2255859375,31.55517578125
11,2025-05-01 17:00:06.043853824,0.5419921875,-0.3154296875,-0.66162109375,-43.76220703125,3.35693359375,31.25
12,2025-05-01 17:00:06.043853824,0.544677734375,-0.29296875,-0.655517578125,-45.41015625,2.0751953125,29.6630859375
13,2025-05-01 17:00:06.043853824,0.55126953125,-0.3037109375,-0.642333984375,-42.96875,2.197265625,26.55029296875
14,2025-05-01 17:00:06.043853824,0.552490234375,-0.3154296875,-0.64794921875,-38.0859375,3.47900390625,22.94921875
15,2025-05-01 17:00:06.043853824,0.546142578125,-0.319580078125,-0.655029296875,-30.3955078125,7.62939453125,20.6298828125
16,2025-05-01 17:00:06.043853824,0.5302734375,-0.3291015625,-0.67138671875,-20.69091796875,14.7705078125,20.08056640625
17,2025-05-01 17:00:06.043853824,0.501708984375,-0.359375,-0.66552734375,-12.3291015625,24.5361328125,20.751953125
18,2025-05-01 17:00:06.043853824,0.48828125,-0.383544921875,-0.63818359375,-6.9580078125,32.40966796875,21.17919921875
19,2025-05-01 17:00:06.043853824,0.484130859375,-0.40087890625,-0.628173828125,-2.5634765625,34.97314453125,20.3857421875
20,2025-05-01 17:00:06.043853824,0.477294921875,-0.40673828125,-0.607421875,1.5869140625,33.99658203125,18.9208984375
21,2025-05-01 17:00:06.043853824,0.460693359375,-0.390625,-0.60595703125,2.9296875,29.9072265625,17.08984375
22,2025-05-01 17:00:06.043853824,0.4462890625,-0.36083984375,-0.623046875,1.46484375,25.57373046875,14.46533203125
23,2025-05-01 17:00:06.043853824,0.439208984375,-0.326416015625,-0.6298828125,-0.9765625,24.59716796875,11.04736328125
24,2025-05-01 17:00:06.043853824,0.44580078125,-0.31591796875,-0.6298828125,-2.25830078125,27.64892578125,6.77490234375
25,2025-05-01 17:00:06.043853824,0.451904296875,-0.315185546875,-0.625244140625,-1.64794921875,33.3251953125,3.0517578125
26,2025-05-01 17:00:06.043853824,0.45458984375,-0.322265625,-0.619384765625,-0.732421875,39.0625,-0.3662109375
27,2025-05-01 17:00:06.043853824,0.460693359375,-0.33984375,-0.60888671875,0.3662109375,43.9453125,-3.7841796875
28,2025-05-01 17:00:06.043853824,0.465087890625,-0.35791015625,-0.5888671875,1.03759765625,47.607421875,-7.568359375
29,2025-05-01 17:00:06.043853824,0.451171875,-0.37353515625,-0.574951171875,0.91552734375,49.25537109375,-10.7421875
30,2025-05-01 17:00:06.043853824,0.430908203125,-0.39306640625,-0.579833984375,2.38037109375,49.560546875,-12.0849609375
31,2025-05-01 17:00:06.043853824,0.411376953125,-0.393310546875,-0.569091796875,5.37109375,50.96435546875,-12.0849609375
32,2025-05-01 17:00:06.043853824,0.4091796875,-0.3662109375,-0.553466796875,7.2021484375,53.89404296875,-10.986328125
33,2025-05-01 17:00:06.043853824,0.419189453125,-0.320556640625,-0.533935546875,7.26318359375,58.04443359375,-9.8876953125
34,2025-05-01 17:00:06.043853824,0.4638671875,-0.278076171875,-0.51806640625,7.01904296875,63.04931640625,-11.77978515625
35,2025-05-01 17:00:06.043853824,0.50390625,-0.2529296875,-0.49072265625,5.67626953125,67.81005859375,-15.7470703125
36,2025-05-01 17:00:06.855263744,0.527099609375,-0.215087890625,-0.46630859375,3.11279296875,70.00732421875,-19.71435546875
37,2025-05-01 17:00:06.859300608,0.553466796875,-0.15625,-0.427734375,2.44140625,71.71630859375,-25.87890625
38,2025-05-01 17:00:06.863337472,0.56884765625,-0.093017578125,-0.394287109375,1.953125,70.86181640625,-34.48486328125
39,2025-05-01 17:00:06.867374080,0.5703125,-0.07470703125,-0.37158203125,2.8076171875,69.88525390625,-42.1142578125
40,2025-05-01 17:00:06.871411200,0.58349609375,-0.08056640625,-0.398681640625,3.96728515625,72.509765625,-48.095703125
41,2025-05-01 17:00:06.875448064,0.598876953125,-0.095947265625,-0.413818359375,5.31005859375,79.40673828125,-54.443359375
42,2025-05-01 17:00:06.879484928,0.592529296875,-0.10498046875,-0.39111328125,9.94873046875,86.42578125,-59.4482421875
43,2025-05-01 17:00:06.883521792,0.623291015625,-0.11474609375,-0.369873046875,13.7939453125,92.041015625,-63.8427734375
